environment,media_s1,absente,comportament,trece
urban,4.13,4.0,0.59,1
urban,7.66,4.0,0.62,1
rural,5.37,7.0,0.92,1
rural,6.27,0.0,0.88,1
rural,8.01,5.0,0.91,1
urban,8.04,4.0,0.89,1
rural,9.67,3.0,0.69,1
urban,6.84,4.0,0.49,1
urban,7.61,4.0,0.49,1
rural,6.12,7.0,0.77,1
urban,7.36,5.0,0.92,1
urban,7.88,8.0,0.09,1
rural,6.8,6.0,0.88,1
rural,3.39,5.0,0.85,1
rural,7.66,6.0,0.09,1
urban,7.73,4.0,0.66,1
rural,5.64,2.0,0.97,1
rural,4.43,5.0,0.85,1
urban,,5.0,0.06,0
rural,7.98,9.0,0.93,1
rural,6.54,,0.17,0
rural,4.73,3.0,0.07,1
urban,5.36,2.0,0.23,1
urban,9.61,7.0,,1
urban,7.28,5.0,0.82,1
urban,5.9,5.0,0.27,1
rural,8.02,3.0,0.39,1
urban,5.37,6.0,0.14,1
urban,10.0,2.0,0.29,1
rural,9.71,5.0,0.9,1
rural,6.07,7.0,0.68,1
rural,5.74,4.0,0.67,1
urban,1.76,8.0,0.25,0
urban,4.04,8.0,0.15,1
urban,4.32,8.0,0.89,0
rural,7.27,3.0,0.94,1
rural,6.35,,0.05,0
urban,4.31,8.0,0.53,0
rural,6.44,,0.44,0
rural,8.01,7.0,0.74,1
rural,8.06,8.0,0.3,1
urban,3.2,5.0,0.62,1
rural,6.74,5.0,0.08,1
rural,4.23,6.0,0.82,0
urban,8.8,6.0,0.24,1
urban,8.57,0.0,0.31,1
rural,5.2,8.0,0.38,1
rural,5.47,7.0,0.21,1
urban,6.08,5.0,0.81,1
urban,2.49,3.0,0.07,0
rural,7.67,4.0,0.93,1
rural,6.45,6.0,0.93,1
rural,8.94,4.0,0.83,1
rural,4.8,4.0,0.95,1
urban,5.76,6.0,0.76,1
rural,3.99,3.0,0.56,1
rural,4.99,3.0,,1
urban,4.64,3.0,,1
rural,8.99,5.0,0.69,1
urban,,7.0,,0
rural,7.25,5.0,0.89,1
rural,6.24,6.0,0.9,1
urban,4.46,2.0,0.11,0
urban,6.66,2.0,0.68,1
rural,,,0.67,0
rural,4.58,,0.5,0
rural,8.62,3.0,0.03,1
urban,5.3,,0.11,0
rural,6.03,4.0,0.66,1
urban,8.06,6.0,0.53,1
urban,5.67,6.0,0.05,1
rural,7.08,4.0,,1
urban,6.37,8.0,0.85,1
rural,7.26,5.0,0.89,1
rural,2.24,5.0,0.7,0
rural,3.34,7.0,0.66,1
rural,,6.0,0.77,0
rural,9.07,6.0,0.13,1
urban,5.18,7.0,0.19,1
urban,6.51,6.0,0.49,1
rural,7.59,,0.45,0
rural,8.39,4.0,0.18,1
urban,2.94,,0.68,0
urban,5.23,10.0,0.74,1
urban,6.33,4.0,0.27,1
urban,8.41,1.0,0.31,1
rural,10.0,7.0,0.26,1
rural,6.54,2.0,0.28,1
urban,4.19,7.0,0.36,0
rural,7.8,6.0,0.44,1
urban,9.64,5.0,0.48,1
rural,7.22,5.0,0.48,1
urban,5.19,1.0,0.62,1
rural,8.92,,0.34,0
urban,8.33,7.0,0.5,1
urban,4.95,,0.51,0
rural,7.76,9.0,0.1,1
urban,8.99,6.0,0.63,1
rural,,7.0,0.28,0
rural,6.87,4.0,0.05,1
urban,6.28,4.0,0.65,1
rural,9.45,3.0,0.05,1
rural,4.58,,0.44,0
rural,7.88,2.0,0.62,1
rural,4.26,7.0,1.0,0
rural,9.13,5.0,0.52,1
urban,6.48,1.0,0.32,1
rural,9.54,8.0,0.49,1
rural,7.98,7.0,0.2,1
rural,4.55,1.0,0.44,1
rural,9.85,2.0,0.87,1
rural,10.0,3.0,0.14,1
urban,8.76,7.0,,1
rural,5.48,4.0,0.62,1
urban,6.39,2.0,0.31,1
urban,7.29,6.0,0.74,1
urban,5.59,2.0,0.66,1
urban,10.0,7.0,,1
rural,7.29,3.0,0.64,1
urban,1.59,4.0,0.84,0
urban,7.68,6.0,0.6,1
rural,6.3,4.0,0.57,1
rural,,6.0,0.62,0
rural,6.26,5.0,0.68,1
urban,8.61,5.0,0.4,1
rural,9.24,5.0,0.84,1
rural,7.57,7.0,0.92,1
urban,6.32,6.0,0.62,1
rural,6.92,4.0,0.89,1
rural,7.04,5.0,0.74,1
rural,5.4,6.0,0.42,1
rural,8.16,3.0,0.5,1
urban,7.92,6.0,0.57,1
rural,10.0,10.0,0.94,1
rural,9.51,5.0,0.65,1
urban,5.63,8.0,0.51,1
rural,8.64,6.0,,1
urban,5.1,5.0,0.67,1
rural,8.39,5.0,0.55,1
urban,5.97,7.0,0.94,1
urban,4.95,7.0,0.34,1
urban,7.56,4.0,0.8,1
urban,1.65,6.0,0.28,0
rural,3.5,4.0,0.17,1
urban,6.65,8.0,0.01,1
rural,7.16,4.0,0.9,1
urban,6.26,2.0,0.44,1
urban,3.84,5.0,0.28,1
urban,5.36,6.0,0.4,1
rural,7.78,4.0,0.71,1
urban,8.16,5.0,0.39,1
rural,6.97,7.0,0.23,1
rural,9.31,8.0,0.09,1
rural,7.79,4.0,0.62,1
rural,5.51,5.0,0.97,1
rural,6.44,6.0,0.63,1
rural,4.19,2.0,0.95,1
rural,6.78,3.0,0.88,1
rural,9.22,6.0,0.16,1
rural,8.37,3.0,0.88,1
urban,9.8,5.0,0.0,1
urban,6.39,8.0,0.51,1
urban,9.69,2.0,0.52,1
urban,6.61,3.0,0.73,1
urban,9.94,3.0,0.76,1
rural,6.96,7.0,0.23,1
rural,,7.0,0.88,0
rural,9.95,7.0,0.18,1
rural,6.61,3.0,0.96,1
rural,7.44,2.0,0.99,1
rural,9.58,4.0,0.7,1
rural,6.73,5.0,0.65,1
urban,4.36,7.0,0.98,1
urban,10.0,5.0,0.24,1
urban,6.06,4.0,0.64,1
urban,7.32,9.0,0.41,1
rural,9.31,6.0,0.17,1
rural,5.78,12.0,0.13,1
rural,4.98,3.0,0.7,1
urban,7.51,4.0,0.23,1
rural,3.41,6.0,0.6,1
rural,6.42,6.0,0.24,1
rural,7.49,4.0,0.45,1
urban,6.46,2.0,0.74,1
rural,3.91,5.0,0.53,1
urban,10.0,8.0,0.87,1
urban,7.21,6.0,,1
urban,9.86,2.0,0.19,1
urban,6.48,4.0,0.9,1
rural,5.24,4.0,0.42,1
urban,,4.0,0.87,0
urban,6.57,2.0,,1
rural,4.64,5.0,0.64,0
rural,9.94,8.0,0.17,1
urban,5.76,4.0,0.08,1
rural,3.32,7.0,1.0,1
urban,9.66,2.0,0.01,1
urban,5.99,3.0,0.59,1
urban,5.78,3.0,0.01,1
urban,3.47,5.0,0.55,1
rural,10.0,4.0,0.1,1
urban,4.42,6.0,0.79,0
rural,,6.0,0.29,0
rural,8.83,,,0
rural,7.84,3.0,0.25,1
rural,6.88,2.0,0.11,1
urban,3.6,5.0,0.5,1
rural,5.38,5.0,0.45,1
urban,7.38,3.0,0.54,1
rural,5.43,2.0,0.63,1
rural,7.41,,0.09,0
urban,8.36,4.0,0.41,1
urban,8.93,,,0
urban,4.55,5.0,0.32,1
rural,10.0,7.0,0.19,1
rural,8.53,2.0,0.61,1
urban,7.0,7.0,0.72,1
urban,9.18,4.0,0.75,1
urban,10.0,3.0,0.33,1
urban,4.12,5.0,0.1,0
rural,6.55,4.0,0.92,1
urban,2.24,7.0,0.69,0
urban,7.39,7.0,0.95,1
urban,7.73,6.0,0.15,1
urban,,6.0,0.66,0
rural,5.69,3.0,0.2,1
urban,2.9,9.0,0.87,0
rural,7.75,4.0,0.52,1
urban,9.91,7.0,0.53,1
urban,5.82,6.0,0.93,1
rural,7.88,1.0,0.3,1
urban,3.86,0.0,0.62,1
rural,7.91,5.0,0.14,1
rural,6.21,7.0,0.36,1
urban,5.48,6.0,0.19,1
rural,5.48,5.0,0.2,1
rural,6.21,1.0,0.66,1
rural,7.76,5.0,0.29,1
rural,4.38,8.0,0.25,1
rural,6.21,,0.81,0
rural,6.92,3.0,0.47,1
rural,4.8,3.0,0.38,1
rural,10.0,,0.82,0
urban,5.29,3.0,0.49,1
urban,5.66,7.0,0.81,1
rural,5.04,5.0,0.32,1
urban,10.0,5.0,0.96,1
rural,8.11,3.0,0.92,1
rural,5.13,7.0,0.82,1
urban,9.21,7.0,0.21,1
rural,7.4,,0.73,0
rural,7.51,6.0,0.82,1
rural,6.31,5.0,0.36,1
rural,5.5,2.0,0.14,1
urban,7.68,5.0,0.27,1
rural,,1.0,0.59,0
rural,10.0,4.0,0.25,1
rural,4.46,7.0,0.66,1
urban,10.0,5.0,,1
rural,6.78,5.0,,1
urban,7.6,2.0,0.61,1
urban,8.67,5.0,0.07,1
rural,5.74,6.0,,1
rural,8.73,,0.97,0
urban,1.58,6.0,0.71,0
rural,5.56,,0.33,0
urban,5.15,5.0,0.9,1
urban,4.49,4.0,0.53,0
rural,6.57,9.0,0.53,1
rural,7.77,11.0,0.38,1
urban,8.41,5.0,0.05,1
urban,7.48,4.0,0.27,1
urban,5.67,,0.82,0
urban,7.74,4.0,0.26,1
rural,7.25,6.0,0.41,1
rural,8.87,4.0,0.63,1
rural,,5.0,0.28,0
rural,7.06,,0.81,0
rural,,3.0,0.9,0
urban,5.69,2.0,0.06,1
rural,5.9,7.0,0.57,1
rural,,6.0,0.35,0
rural,7.54,4.0,0.55,1
rural,8.43,4.0,0.55,1
rural,6.9,4.0,0.01,1
urban,7.03,3.0,0.65,1
urban,7.29,5.0,0.22,1
urban,5.97,5.0,0.56,1
rural,5.15,0.0,0.9,1
urban,3.49,6.0,0.19,0
urban,5.61,5.0,0.27,1
rural,7.95,9.0,0.06,1
rural,5.59,4.0,0.49,1
rural,6.52,8.0,0.87,1
urban,7.93,7.0,0.54,1
urban,8.04,4.0,0.35,1
rural,4.84,6.0,0.91,0
rural,8.99,9.0,0.53,1
urban,9.25,7.0,,1
urban,4.74,1.0,0.75,1
rural,5.35,7.0,0.91,1
rural,9.38,9.0,0.65,1
urban,6.71,4.0,0.99,1
rural,2.56,5.0,0.53,0
urban,4.2,,0.64,0
urban,6.5,5.0,0.13,1
urban,4.67,2.0,0.94,1
urban,6.17,,0.33,0
rural,7.06,4.0,0.67,1
rural,9.92,5.0,0.36,1
urban,6.42,5.0,0.89,1
urban,9.15,5.0,0.11,1
urban,9.86,5.0,0.9,1
urban,9.87,6.0,0.63,1
urban,,8.0,0.96,0
rural,3.07,6.0,0.5,1
rural,,2.0,0.49,0
rural,9.1,5.0,0.36,1
rural,6.84,1.0,0.33,1
urban,10.0,3.0,0.12,1
urban,8.72,10.0,0.33,1
urban,8.14,3.0,0.61,1
urban,9.17,6.0,0.08,1
urban,7.67,3.0,0.19,1
rural,2.01,3.0,0.86,0
urban,6.0,6.0,0.09,1
rural,9.39,5.0,0.24,1
rural,5.38,5.0,0.0,1
rural,6.55,3.0,0.72,1
rural,4.91,4.0,0.85,1
urban,10.0,,0.88,0
rural,10.0,7.0,0.9,1
rural,5.23,3.0,0.4,1
rural,7.29,2.0,0.56,1
urban,5.64,,0.68,0
urban,8.23,4.0,0.91,1
urban,8.02,4.0,0.8,1
rural,8.62,2.0,0.49,1
rural,7.66,6.0,0.51,1
urban,10.0,7.0,0.34,1
rural,4.94,7.0,0.01,0
urban,3.58,4.0,0.14,1
urban,6.21,4.0,0.33,1
rural,3.86,4.0,0.61,0
rural,4.02,5.0,0.71,1
rural,5.0,7.0,,0
rural,5.16,6.0,0.55,1
urban,5.09,3.0,0.39,1
urban,8.04,8.0,0.69,1
urban,5.99,4.0,0.39,1
urban,6.64,4.0,0.11,1
urban,8.79,1.0,0.0,1
rural,5.47,3.0,0.71,1
urban,6.47,5.0,0.9,1
urban,7.73,6.0,0.68,1
urban,3.12,7.0,0.03,0
rural,2.23,,0.22,0
rural,7.69,8.0,0.95,1
rural,7.98,3.0,0.71,1
rural,10.0,5.0,0.74,1
urban,7.32,2.0,0.81,1
urban,8.64,5.0,0.91,1
rural,6.61,2.0,0.44,1
rural,7.59,6.0,0.43,1
urban,10.0,7.0,0.02,1
urban,2.75,3.0,0.94,0
rural,7.83,4.0,0.13,1
rural,10.0,5.0,0.45,1
rural,7.56,6.0,0.6,1
rural,10.0,6.0,0.99,1
urban,5.74,5.0,0.4,1
urban,6.94,4.0,0.67,1
urban,7.07,7.0,0.95,1
rural,2.56,6.0,0.57,0
rural,4.66,4.0,0.53,0
urban,4.81,5.0,0.57,0
urban,8.64,7.0,,1
urban,8.74,3.0,0.04,1
urban,7.65,4.0,0.76,1
rural,8.65,3.0,0.17,1
urban,6.67,6.0,0.77,1
urban,9.4,8.0,0.8,1
urban,7.02,2.0,0.63,1
urban,7.12,8.0,0.44,1
urban,,1.0,0.73,0
urban,8.37,7.0,0.02,1
urban,6.16,9.0,0.65,1
rural,8.95,8.0,0.23,1
rural,4.74,3.0,,0
rural,4.8,3.0,0.14,1
rural,8.37,5.0,0.18,1
urban,6.82,8.0,0.45,1
rural,6.09,6.0,0.53,1
rural,8.78,5.0,0.42,1
urban,5.79,14.0,0.61,1
urban,6.6,5.0,0.05,1
rural,9.8,2.0,0.19,1
rural,10.0,8.0,0.0,1
urban,10.0,4.0,0.57,1
rural,6.44,4.0,0.69,1
urban,9.46,4.0,0.48,1
urban,5.1,6.0,0.46,1
urban,5.19,3.0,0.43,1
urban,2.3,6.0,0.34,0
rural,10.0,3.0,0.59,1
urban,5.27,6.0,0.01,1
urban,6.75,3.0,0.6,1
rural,5.18,6.0,0.49,1
urban,8.39,4.0,0.63,1
rural,6.25,7.0,0.85,1
rural,4.39,5.0,,0
rural,7.88,10.0,0.81,1
urban,4.13,7.0,0.41,1
rural,5.33,2.0,0.39,1
rural,2.79,5.0,0.21,0
urban,4.15,6.0,0.03,1
rural,7.36,4.0,0.51,1
rural,3.07,5.0,0.97,0
rural,4.04,6.0,0.75,1
rural,7.0,8.0,0.55,1
rural,5.91,,0.3,0
urban,10.0,4.0,0.12,1
rural,10.0,6.0,0.26,1
rural,5.26,4.0,0.53,1
urban,8.11,5.0,0.62,1
urban,,10.0,0.37,0
urban,5.81,,0.1,0
rural,4.01,3.0,0.26,1
urban,6.98,6.0,0.26,1
rural,6.65,4.0,0.54,1
rural,,6.0,0.1,0
urban,7.88,6.0,0.29,1
urban,5.5,8.0,0.34,1
rural,4.7,7.0,0.53,0
urban,,3.0,0.3,0
rural,7.77,5.0,0.15,1
urban,4.65,3.0,0.03,0
urban,8.86,7.0,0.17,1
urban,3.46,3.0,0.82,1
rural,,4.0,0.35,0
urban,6.48,6.0,0.54,1
rural,5.73,6.0,0.49,1
rural,5.87,8.0,0.28,1
rural,10.0,7.0,,1
rural,5.3,4.0,0.94,1
urban,10.0,4.0,0.21,1
rural,7.87,4.0,0.81,1
rural,7.18,6.0,,1
urban,,7.0,0.84,0
rural,10.0,8.0,0.41,1
urban,5.01,3.0,,1
rural,4.76,4.0,0.19,1
urban,5.49,1.0,0.97,1
rural,7.06,,0.72,0
urban,3.55,5.0,,1
rural,7.04,,0.88,0
rural,10.0,1.0,0.96,1
urban,7.3,7.0,0.33,1
urban,6.41,3.0,0.54,1
urban,,6.0,0.99,0
urban,8.8,4.0,0.45,1
rural,5.35,,0.67,0
rural,10.0,9.0,0.45,1
urban,10.0,4.0,0.08,1
rural,7.51,8.0,0.51,1
urban,6.98,6.0,0.83,1
urban,9.06,2.0,0.04,1
rural,9.19,9.0,0.44,1
rural,5.39,4.0,0.82,1
rural,5.95,6.0,,1
rural,4.36,8.0,0.98,0
rural,7.82,,0.38,0
rural,8.33,5.0,0.78,1
rural,4.3,7.0,0.25,1
urban,6.09,,0.33,0
urban,4.31,5.0,0.72,0
urban,5.2,6.0,0.06,1
urban,8.1,6.0,0.09,1
urban,5.53,6.0,0.27,1
rural,6.4,6.0,0.25,1
urban,3.75,5.0,,0
urban,7.37,6.0,0.97,1
urban,6.91,3.0,0.29,1
urban,5.54,2.0,0.72,1
urban,6.62,11.0,0.39,1
urban,7.36,8.0,0.99,1
urban,5.37,8.0,0.14,1
rural,4.05,1.0,,0
rural,10.0,7.0,0.43,1
urban,5.73,6.0,0.72,1
rural,6.81,3.0,0.5,1
rural,9.02,9.0,0.75,1
rural,10.0,7.0,0.84,1
rural,,5.0,0.29,0
urban,7.9,4.0,0.8,1
rural,5.58,6.0,0.49,1
rural,5.92,6.0,0.08,1
rural,5.56,1.0,0.3,1
urban,4.75,7.0,0.8,1
urban,6.92,4.0,0.39,1
urban,4.05,4.0,0.09,1
urban,8.89,6.0,0.64,1
urban,7.11,2.0,0.85,1
urban,7.84,5.0,0.13,1
urban,6.07,2.0,0.54,1
rural,6.27,5.0,0.21,1
rural,7.58,5.0,0.34,1
rural,4.67,1.0,0.41,0
urban,6.28,7.0,0.01,1
urban,5.28,3.0,0.36,1
urban,5.22,4.0,0.31,1
urban,2.78,2.0,0.67,0
urban,,5.0,0.88,0
rural,5.63,4.0,0.11,1
rural,9.33,6.0,0.48,1
urban,9.14,2.0,0.28,1
urban,4.43,2.0,0.99,1
urban,4.82,7.0,,0
urban,10.0,2.0,0.12,1
rural,10.0,7.0,0.37,1
urban,6.94,,0.11,0
urban,7.51,7.0,0.79,1
urban,5.74,7.0,0.49,1
urban,7.86,6.0,0.65,1
rural,5.57,7.0,0.57,1
urban,2.94,7.0,0.18,0
urban,4.36,4.0,0.01,1
rural,7.04,4.0,0.87,1
rural,4.74,2.0,0.09,1
rural,6.87,3.0,0.79,1
urban,4.85,4.0,0.19,0
urban,5.44,5.0,0.85,1
rural,8.71,3.0,0.59,1
rural,7.49,4.0,0.4,1
rural,6.98,2.0,0.66,1
rural,,6.0,0.27,0
rural,7.96,4.0,0.42,1
rural,9.89,3.0,0.82,1
urban,6.08,7.0,0.01,1
urban,6.14,5.0,0.23,1
urban,4.4,9.0,0.74,1
rural,6.14,7.0,0.72,1
rural,8.93,3.0,0.16,1
rural,9.6,4.0,0.98,1
rural,8.92,8.0,0.68,1
rural,3.41,,0.37,0
rural,9.17,5.0,0.35,1
urban,3.32,,,0
urban,8.8,6.0,0.04,1
rural,6.26,2.0,0.71,1
urban,8.41,11.0,0.07,1
rural,4.34,4.0,0.65,1
urban,9.34,7.0,0.8,1
rural,4.07,7.0,0.91,0
rural,5.66,6.0,0.15,1
urban,5.0,7.0,0.75,1
urban,3.49,4.0,0.98,1
rural,7.19,2.0,0.07,1
rural,10.0,8.0,0.03,1
urban,10.0,5.0,0.21,1
urban,7.19,5.0,0.21,1
rural,9.23,3.0,0.32,1
urban,7.46,4.0,0.92,1
rural,8.0,2.0,0.68,1
rural,6.32,7.0,0.01,1
rural,7.39,6.0,0.5,1
rural,,1.0,0.88,0
urban,5.84,4.0,0.53,1
urban,6.85,,0.19,0
urban,6.88,7.0,0.95,1
urban,8.65,6.0,0.31,1
urban,4.87,4.0,,0
urban,6.9,4.0,0.36,1
urban,10.0,10.0,0.39,1
rural,9.33,5.0,0.71,1
urban,9.7,8.0,0.31,1
urban,7.05,8.0,0.47,1
rural,7.64,3.0,0.26,1
urban,9.0,6.0,0.51,1
urban,10.0,7.0,0.95,1
rural,3.1,6.0,0.29,1
urban,4.37,5.0,0.82,0
urban,9.62,6.0,0.22,1
urban,6.45,2.0,0.14,1
rural,5.66,4.0,0.09,1
urban,4.49,4.0,0.98,1
urban,5.89,2.0,0.57,1
rural,4.2,3.0,0.51,0
urban,10.0,5.0,0.01,1
rural,6.96,5.0,0.48,1
rural,6.88,5.0,0.66,1
urban,8.18,8.0,0.41,1
rural,8.92,,0.13,0
rural,8.89,3.0,0.27,1
urban,9.15,5.0,0.71,1
rural,5.74,1.0,0.48,1
rural,6.4,5.0,0.48,1
urban,8.54,5.0,0.04,1
urban,5.95,3.0,0.53,1
urban,6.99,4.0,0.42,1
rural,7.8,5.0,0.88,1
urban,8.57,4.0,0.38,1
rural,3.44,8.0,0.61,0
rural,8.43,3.0,0.94,1
rural,6.53,5.0,0.57,1
rural,8.41,7.0,0.03,1
rural,8.55,8.0,0.1,1
rural,10.0,5.0,0.97,1
rural,9.71,1.0,0.55,1
urban,9.69,4.0,0.19,1
urban,9.89,3.0,0.57,1
rural,,4.0,0.96,0
rural,7.06,4.0,,1
urban,8.75,1.0,0.53,1
rural,8.46,3.0,0.14,1
urban,6.38,10.0,0.45,1
urban,7.81,2.0,0.65,1
urban,6.93,4.0,0.46,1
rural,5.29,5.0,0.96,1
rural,9.58,8.0,0.58,1
urban,7.11,4.0,0.96,1
urban,10.0,2.0,0.31,1
urban,3.75,2.0,0.02,0
urban,5.89,5.0,0.15,1
urban,,4.0,0.07,0
rural,9.27,4.0,0.74,1
urban,7.8,7.0,0.19,1
rural,7.62,5.0,0.76,1
urban,4.75,3.0,0.54,0
rural,4.69,2.0,0.22,0
rural,7.65,4.0,0.61,1
rural,4.27,5.0,0.01,0
rural,5.94,4.0,0.33,1
rural,8.0,3.0,,1
rural,5.04,,0.75,0
urban,10.0,4.0,0.79,1
rural,9.45,7.0,0.59,1
urban,3.86,8.0,0.57,0
rural,5.14,,0.41,0
rural,2.43,3.0,0.95,0
urban,5.43,7.0,0.95,1
rural,8.53,8.0,0.01,1
urban,6.17,7.0,0.96,1
urban,7.92,6.0,0.87,1
urban,3.96,6.0,0.61,1
urban,8.6,1.0,0.32,1
rural,5.89,3.0,0.42,1
rural,7.02,3.0,0.85,1
urban,6.81,4.0,0.15,1
rural,4.46,2.0,0.62,1
rural,4.69,10.0,,0
urban,8.94,4.0,0.38,1
rural,7.8,4.0,0.0,1
urban,9.1,7.0,0.97,1
urban,7.65,3.0,0.11,1
rural,7.29,4.0,0.76,1
rural,3.55,5.0,0.56,1
rural,6.46,7.0,0.83,1
urban,6.95,6.0,0.52,1
urban,10.0,4.0,0.98,1
rural,8.37,4.0,0.61,1
rural,10.0,6.0,0.62,1
rural,8.2,2.0,0.92,1
rural,5.58,3.0,0.26,1
urban,7.23,6.0,0.36,1
rural,7.47,2.0,0.66,1
urban,5.12,4.0,0.14,1
urban,6.23,4.0,0.81,1
rural,6.59,6.0,0.59,1
rural,10.0,5.0,0.75,1
rural,2.84,4.0,0.99,0
urban,9.41,5.0,0.98,1
rural,5.13,,0.45,0
rural,4.26,9.0,0.28,1
urban,9.36,8.0,0.63,1
rural,8.46,7.0,0.71,1
urban,9.51,6.0,0.29,1
rural,8.6,5.0,0.28,1
urban,10.0,3.0,0.21,1
rural,8.12,4.0,0.91,1
rural,6.69,6.0,0.1,1
urban,7.69,2.0,,1
urban,9.49,5.0,0.62,1
rural,5.44,2.0,0.47,1
urban,5.7,0.0,0.12,1
urban,6.38,9.0,0.29,1
urban,2.79,2.0,,0
urban,7.28,6.0,0.96,1
rural,3.23,5.0,0.4,0
rural,,6.0,0.12,0
urban,8.73,7.0,0.97,1
urban,6.05,6.0,0.43,1
urban,10.0,4.0,0.14,1
urban,4.08,5.0,0.61,0
rural,9.38,,0.81,0
rural,8.35,4.0,0.71,1
urban,3.57,2.0,0.31,0
urban,10.0,5.0,0.24,1
urban,6.87,6.0,,1
rural,,,0.19,0
urban,4.19,4.0,0.76,1
rural,6.56,2.0,0.02,1
urban,6.75,5.0,0.42,1
rural,7.21,5.0,0.98,1
urban,6.4,5.0,0.63,1
rural,8.27,2.0,,1
urban,6.22,6.0,0.7,1
urban,3.13,4.0,0.35,1
urban,6.7,1.0,0.94,1
rural,2.27,5.0,0.23,0
urban,7.71,8.0,0.32,1
rural,5.04,8.0,0.69,1
rural,7.33,5.0,0.8,1
urban,9.63,7.0,0.58,1
urban,5.1,8.0,0.29,1
urban,9.12,1.0,0.57,1
rural,6.13,4.0,0.22,1
urban,10.0,5.0,0.06,1
rural,6.27,1.0,0.92,1
rural,5.32,7.0,0.48,1
urban,8.37,3.0,0.48,1
urban,6.13,3.0,0.74,1
urban,5.32,3.0,0.56,1
urban,6.04,9.0,0.45,1
urban,6.91,4.0,,1
urban,9.68,3.0,0.48,1
rural,3.13,1.0,0.91,1
rural,,5.0,0.31,0
rural,8.25,4.0,0.03,1
urban,7.39,5.0,0.15,1
rural,9.62,8.0,0.82,1
rural,6.85,2.0,0.93,1
rural,6.63,2.0,0.08,1
rural,8.18,2.0,0.91,1
rural,7.2,1.0,0.94,1
urban,6.22,8.0,0.75,1
urban,8.03,11.0,0.76,1
rural,5.69,2.0,0.0,1
rural,5.78,3.0,0.22,1
rural,,2.0,0.21,0
urban,9.71,7.0,,1
urban,0.56,9.0,0.66,0
rural,7.79,4.0,0.9,1
urban,7.07,4.0,0.49,1
urban,3.64,5.0,0.5,0
rural,7.62,2.0,0.05,1
urban,7.95,7.0,1.0,1
urban,8.18,4.0,0.95,1
rural,1.7,,0.07,0
urban,9.73,5.0,0.56,1
urban,5.52,5.0,0.35,1
rural,8.37,2.0,,1
urban,8.48,6.0,0.65,1
urban,5.25,8.0,0.42,1
rural,8.32,5.0,0.5,1
rural,6.23,3.0,0.27,1
rural,2.86,5.0,0.08,0
urban,9.34,9.0,0.76,1
rural,5.45,2.0,0.38,1
urban,5.29,7.0,0.89,1
rural,6.19,,0.94,0
urban,,7.0,0.09,0
rural,6.89,8.0,0.68,1
rural,8.1,3.0,0.82,1
rural,4.32,3.0,,1
rural,5.52,7.0,0.33,1
urban,6.77,6.0,0.28,1
rural,10.0,8.0,0.46,1
rural,6.77,8.0,,1
urban,9.17,4.0,0.9,1
rural,7.08,5.0,0.05,1
urban,6.03,6.0,0.11,1
rural,,3.0,0.61,0
rural,6.66,4.0,0.66,1
rural,8.21,6.0,0.74,1
urban,9.75,5.0,0.28,1
rural,7.72,5.0,,1
rural,9.37,6.0,0.41,1
rural,5.07,6.0,0.23,1
urban,6.17,,,0
urban,5.55,9.0,0.7,1
rural,7.63,6.0,0.5,1
urban,6.28,0.0,0.97,1
rural,8.46,2.0,0.58,1
rural,5.14,5.0,0.33,1
rural,7.09,1.0,0.18,1
rural,8.37,,0.22,0
rural,2.87,3.0,,0
rural,10.0,5.0,0.44,1
rural,6.43,7.0,0.96,1
urban,2.95,7.0,,0
urban,7.32,6.0,0.3,1
urban,7.07,6.0,0.8,1
urban,6.84,1.0,0.93,1
urban,8.98,7.0,0.67,1
urban,8.49,6.0,0.51,1
urban,7.6,5.0,0.14,1
rural,7.9,3.0,0.08,1
rural,6.79,6.0,0.22,1
rural,10.0,3.0,0.66,1
rural,,3.0,0.15,0
urban,7.28,7.0,0.53,1
urban,7.13,4.0,0.44,1
rural,8.63,3.0,0.63,1
rural,5.31,5.0,0.05,1
urban,3.51,5.0,0.98,0
rural,7.31,4.0,0.69,1
rural,7.56,6.0,0.72,1
rural,9.98,3.0,0.02,1
rural,4.46,3.0,0.08,0
urban,9.31,,0.69,0
rural,10.0,3.0,0.11,1
rural,6.24,8.0,0.9,1
urban,4.42,4.0,0.62,0
urban,,7.0,0.07,0
rural,,3.0,0.61,0
urban,8.13,3.0,0.8,1
rural,5.82,3.0,0.8,1
rural,10.0,7.0,0.4,1
urban,4.77,7.0,0.46,1
rural,3.52,3.0,0.74,1
rural,,0.0,0.87,0
rural,2.45,3.0,0.79,0
rural,6.59,5.0,0.6,1
urban,10.0,2.0,0.72,1
urban,6.98,7.0,0.65,1
rural,4.76,6.0,0.58,0
urban,6.89,5.0,0.92,1
rural,6.9,4.0,0.65,1
rural,7.32,9.0,0.38,1
rural,8.32,6.0,0.97,1
rural,4.92,4.0,0.95,0
rural,10.0,5.0,0.78,1
urban,7.49,10.0,0.03,1
rural,8.45,4.0,0.73,1
urban,5.74,3.0,0.03,1
urban,9.57,7.0,0.07,1
rural,6.49,10.0,0.35,1
rural,7.56,5.0,0.32,1
rural,5.13,3.0,0.56,1
rural,5.01,3.0,0.24,1
rural,8.38,5.0,0.2,1
urban,6.11,8.0,0.67,1
rural,5.29,5.0,0.44,1
rural,5.71,3.0,0.05,1
